"variable","CT","NG","TV"
"(Intercept)","0.09 (0.07-0.12)","0.02 (0.01-0.04)","0.09 (0.06-0.13)"
"Western and Central","0.30 (0.17-0.55)","0.33 (0.15-0.76)","1.09 (0.66-1.81)"
"Eastern","0.30 (0.26-0.34)","0.68 (0.57-0.82)","0.92 (0.81-1.06)"
"Southern","Ref","Ref","Ref"
"Western and Central:Male","0.87 (0.54-1.40)","0.74 (0.35-1.58)","0.00 (0.00-Inf)"
"Eastern:Male","0.52 (0.46-0.58)","0.47 (0.36-0.61)","0.53 (0.42-0.66)"
"Southern:Male","0.64 (0.58-0.71)","0.57 (0.47-0.69)","0.26 (0.22-0.30)"
"Western and Central:Both sexes","-","-","-"
"Eastern:Both sexes","1.35 (0.46-3.94)","1.63 (0.35-7.63)","0.93 (0.22-3.88)"
"Southern:Both sexes","0.27 (0.08-0.89)","0.17 (0.03-1.03)","-"
"Western and Central:Year","1.03 (0.96-1.11)","1.07 (0.97-1.19)","0.96 (0.91-1.02)"
"Eastern:Year","1.13 (1.10-1.17)","1.06 (1.01-1.11)","0.98 (0.94-1.03)"
"Southern:Year","1.05 (1.02-1.09)","1.05 (1.00-1.10)","0.99 (0.95-1.04)"
"ANC attendees","Ref","Ref","Ref"
"FP attendees","0.75 (0.54-1.04)","1.05 (0.61-1.81)","0.38 (0.19-0.76)"
"GYN attendees","0.96 (0.54-1.72)","0.42 (0.18-0.97)","0.91 (0.54-1.55)"
"PHC/OPD attendees","0.78 (0.56-1.08)","1.32 (0.80-2.18)","1.11 (0.67-1.84)"
"Students","0.54 (0.32-0.92)","0.65 (0.29-1.43)","0.49 (0.22-1.07)"
"Community members","1.08 (0.68-1.71)","1.42 (0.73-2.76)","1.35 (0.33-5.56)"
"HIV/STI prevention trial participants","0.93 (0.65-1.34)","1.08 (0.63-1.86)","1.15 (0.69-1.92)"
"Population-representative survey participants","0.81 (0.49-1.35)","1.21 (0.58-2.54)","1.40 (0.75-2.60)"
"Adult","Ref","Ref","Ref"
"Youth","1.75 (1.23-2.49)","1.50 (0.89-2.51)","0.74 (0.42-1.32)"
"Mixed","Ref","Ref","Ref"
"HIV negative","1.46 (1.14-1.87)","1.29 (0.85-1.94)","0.78 (0.52-1.16)"
"HIV positive","1.25 (0.69-2.28)","1.56 (0.64-3.79)","2.32 (1.00-5.36)"
