"variable","CT","NG","TV"
"(Intercept)","0.13 (0.09-0.17)","0.03 (0.02-0.07)","0.09 (0.06-0.16)"
"Western and Central","0.36 (0.19-0.70)","0.98 (0.28-3.35)","1.32 (0.53-3.29)"
"Eastern","0.58 (0.41-0.83)","0.90 (0.41-1.99)","2.38 (1.04-5.42)"
"Southern","Ref","Ref","Ref"
"Western and Central:Male","0.64 (0.35-1.20)","0.89 (0.41-1.92)","0.04 (0.01-0.31)"
"Eastern:Male","0.49 (0.43-0.55)","0.55 (0.43-0.71)","0.30 (0.22-0.41)"
"Southern:Male","0.62 (0.56-0.69)","0.79 (0.64-0.98)","0.14 (0.10-0.19)"
"Western and Central:Year","1.12 (1.01-1.24)","1.29 (1.05-1.57)","-"
"Eastern:Year","1.18 (1.13-1.23)","1.06 (0.98-1.15)","-"
"Southern:Year","1.14 (1.04-1.24)","1.08 (0.87-1.33)","0.95 (0.82-1.10)"
"ANC attendees","Ref","Ref","Ref"
"Adult","Ref","Ref","Ref"
"Mixed","Ref","Ref","Ref"
